NUTS3_Region,Total,Residential buildings,One-dwelling residential buildings,Two-dwelling residential buildings,Three or more dwelling residential buildings
Hartlepool and Stockton-on-Tees,"119,380","118,645","26,310","46,430","45,905"
South Teesside,"116,615","115,815","18,855","49,995","46,965"
Darlington,"46,555","46,285","8,210","17,835","20,240"
Durham CC,"223,540","222,350","43,115","83,225","96,010"
Northumberland,"138,280","137,345","35,120","50,125","52,100"
Tyneside,"364,470","362,130","33,840","144,890","183,400"
Sunderland,"119,560","118,780","13,750","52,665","52,365"
West Cumbria,"103,410","102,555","22,375","35,075","45,110"
East Cumbria,"117,410","116,210","34,740","38,320","43,150"
Greater Manchester South (NUTS 2010),"618,185","613,295","70,765","228,655","313,870"
Greater Manchester North (NUTS 2010),"507,535","504,595","82,475","193,605","228,515"
Blackburn with Darwen,"57,230","56,830","8,070","16,590","32,165"
Blackpool,"63,975","62,930","5,675","24,190","33,065"
Lancashire CC (NUTS 2010),"492,485","488,625","111,125","168,115","209,385"
Warrington,"85,065","84,715","20,420","35,150","29,145"
Cheshire East,"158,710","157,635","56,685","51,915","49,035"
Cheshire West and Chester,"140,465","139,575","42,435","51,545","45,600"
East Merseyside,"190,020","189,225","29,660","78,755","80,810"
Liverpool,"204,895","202,605","14,740","58,310","129,555"
Sefton,"117,505","116,455","18,295","55,245","42,920"
Wirral,"140,350","138,685","23,820","58,525","56,340"
"Kingston upon Hull, City of","112,385","111,230","8,045","30,855","72,330"
East Riding of Yorkshire,"142,600","141,355","49,480","52,385","39,490"
North and North East Lincolnshire,"139,735","138,545","38,565","52,780","47,200"
York,"83,175","82,495","18,540","30,170","33,785"
North Yorkshire CC,"254,925","252,165","85,335","82,115","84,720"
"Barnsley, Doncaster and Rotherham","334,445","332,470","75,055","156,565","100,850"
Sheffield,"229,375","227,400","33,225","84,580","109,595"
Bradford,"198,185","196,655","28,395","72,180","96,085"
Leeds,"319,540","317,245","47,250","120,100","149,895"
Calderdale and Kirklees,"261,360","259,560","48,680","82,550","128,330"
Wakefield,"140,085","139,345","29,605","62,545","47,195"
Derby,"101,905","101,275","23,970","40,100","37,205"
East Derbyshire,"122,325","121,595","36,410","54,470","30,710"
South and West Derbyshire,"209,380","207,620","70,580","75,985","61,055"
Nottingham,"125,710","124,495","18,955","39,985","65,555"
North Nottinghamshire,"191,630","190,515","62,675","79,725","48,110"
South Nottinghamshire,"141,300","140,355","57,385","48,310","34,660"
Leicester,"122,475","121,110","13,060","43,960","64,090"
Leicestershire CC and Rutland,"281,150","279,285","106,015","107,775","65,495"
West Northamptonshire,"154,690","153,805","48,040","47,785","57,975"
North Northamptonshire,"132,195","131,505","38,350","46,025","47,130"
Lincolnshire,"304,205","302,120","140,510","89,625","71,985"
"Herefordshire, County of","77,520","76,775","33,110","21,790","21,875"
Worcestershire,"237,390","235,335","80,675","80,230","74,425"
Warwickshire,"229,395","227,480","65,490","78,580","83,405"
Telford and Wrekin,"66,335","65,995","20,510","24,455","21,030"
Shropshire CC,"128,725","127,505","51,490","43,925","32,095"
Stoke-on-Trent,"107,430","106,805","15,455","48,780","42,570"
Staffordshire CC,"353,255","350,940","118,865","135,845","96,230"
Birmingham,"409,350","405,140","45,430","143,970","215,740"
Solihull,"85,915","85,355","24,535","32,500","28,320"
Coventry,"127,755","126,700","13,445","35,745","77,510"
Dudley,"129,690","128,735","28,215","63,325","37,195"
Sandwell,"121,350","120,425","13,815","53,220","53,390"
Walsall,"107,530","106,600","19,785","45,825","40,990"
Wolverhampton,"101,860","101,055","16,245","46,200","38,610"
Peterborough,"73,540","73,170","20,445","23,295","29,430"
Cambridgeshire CC,"248,970","247,475","91,135","76,785","79,555"
Norfolk (NUTS 2010),"369,835","367,310","145,305","109,395","112,610"
