,EAST_ANGLIA,HORNSEA,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z1_1,Z1_2,Z1_3,Z1_4,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9
2014-01-01 00:00:00,0.0,0.0,-0.6379724108265548,-6.263357081486954,-2.744128221936114,-3.518199046248585,-6.81154298304852,-1.207505463323448,-2.5015344710271714,-0.8794138373783433,0.0,0.0,-0.04912674251219744,-0.20803024809627504,-0.4204793018619759,-0.5072235716799546,-0.018316227021510787,-3.5373703996539505,-0.1927167021031911,-2.46943200262821,-5.086728975661424,-6.384151153557568
2014-01-01 01:00:00,0.0,0.0,-0.68254716980367,-6.718450272636584,-2.9355973461287745,-3.7694749942387924,-7.32268516829622,-1.2941561157772041,-2.681068662472703,-0.9319286873558985,0.0,0.0,-0.05197547023633956,-0.21982035083041462,-0.44837710827647576,-0.5356741775478046,-0.01941175055495449,-3.7441636610355458,-0.20513380723502142,-2.6536142049941747,-5.454387814632449,-6.850744477514355
2014-01-01 02:00:00,0.0,0.0,-0.6883735639364079,-6.731067322357316,-2.946896417215141,-3.772281613070153,-7.255438354998298,-1.288927981454383,-2.671742839773318,-0.9410580964408858,0.0,0.0,-0.05313906541826786,-0.22527169344932135,-0.4541590184301633,-0.5469725548260024,-0.01976157197998907,-3.8154364962463796,-0.20807484458615827,-2.652980698290006,-5.478152373957621,-6.864797131326221
2014-01-01 03:00:00,0.0,0.0,-0.7645913507836336,-7.4385488815958425,-3.2695102990452547,-4.175807363710177,-8.00850185344472,-1.4305014763036374,-2.970180317255049,-1.0482814912544747,0.0,0.0,-0.05769432264015022,-0.24143566062462943,-0.49631314691154044,-0.5877417007334794,-0.021591601861955162,-4.10314910671904,-0.22731093731331184,-2.918475207336544,-6.040301112706364,-7.568716009793937
2014-01-01 04:00:00,0.0,0.0,-0.9529256850812913,-9.27075549190833,-4.063876796663274,-5.201183707762473,-10.025423211313026,-1.7861075570634122,-3.7274116640175485,-1.3117391359189003,0.0,0.0,-0.06760234900780061,-0.2726710175605306,-0.6018289600977039,-0.685026777268019,-0.02577624000075663,-4.819464993821576,-0.27445456881740754,-3.6356756502282535,-7.467274421918153,-9.395765389966451
2014-01-01 05:00:00,0.0,0.0,-1.2834077258558398,-12.412261459250827,-5.436781785604877,-6.964028643135161,-13.490374853916695,-2.407627186619832,-5.072026096815488,-1.7630218660793444,0.0,0.0,-0.08890334698598085,-0.3501287623625468,-0.8035459622389343,-0.9237021245736733,-0.034236682240569985,-6.51438372860125,-0.36672028143915775,-4.861100504723492,-9.849333296857642,-12.470360242374886
2014-01-01 06:00:00,0.0,0.0,-1.4742464675456521,-13.912596075977131,-6.155761413614225,-7.804360888394029,-14.713198556202665,-2.6812561126973677,-5.685454158824655,-2.0354137938104744,0.0,0.0,-0.10269782464828564,-0.3982170595612963,-0.9048309061294536,-1.0244258895317706,-0.039216539501818894,-7.089336307822001,-0.41457524662956036,-5.373791098447032,-11.018839683221751,-13.896875474153443
2014-01-01 07:00:00,0.0,0.0,-1.462820188936311,-13.912385374697848,-6.1247819385114735,-7.7855371170510175,-14.689199604435471,-2.6559915072263074,-5.604518150430573,-2.0130665604149316,0.0,0.0,-0.10319447634823813,-0.4065653851451269,-0.908608944875322,-1.027536388622022,-0.039202940651567715,-7.131605129790207,-0.41546842822967994,-5.401727150585119,-11.10533837669321,-13.97760733900171
2014-01-01 08:00:00,0.0,0.0,-1.4296782454226622,-13.705924952520348,-6.046682104603162,-7.69699553100938,-14.6385129069099,-2.639122055231489,-5.5366500671666,-1.9794642180605853,0.0,0.0,-0.10053482274153154,-0.39562900421033453,-0.8885939297917422,-1.0015496535223016,-0.038388131537850735,-6.983217149360338,-0.40624075907479185,-5.326407707527902,-10.98806692557406,-13.815822374227766
2014-01-01 09:00:00,0.0,0.0,-1.3257366780066255,-12.735611808441384,-5.610668601608317,-7.150810594795555,-13.635957778350804,-2.4525317493545202,-5.146301371791114,-1.8330007439907323,0.0,0.0,-0.09523584821430472,-0.37972539764538377,-0.8355283378984267,-0.9653160487194439,-0.036191935565573465,-6.7282248279469705,-0.38255272216482195,-4.961351556315981,-10.199926763159075,-12.836850934663186
