Name_1,domestic_weighted,non-domestic_weighted
Z10,4578.409461437148,2555.6873914670336
Z11,44889.17906531756,27164.08018145026
Z12,20030.272990335394,11309.260587397774
Z13,26793.501674770745,15272.79375778515
Z14,53589.72028389902,26644.93494839393
Z15,9248.570757364485,4140.309484434465
Z16,21932.503937503956,8725.699762930917
Z17,7054.864197861438,4015.8898041621196
Z1_1,0.0,0.0
Z1_2,0.0,0.0
Z1_3,227.8563195162938,244.60201641919394
Z1_4,585.5987778404909,1253.2844877504572
Z2,2557.321780160906,1936.1505391386117
Z3,2812.230820153157,2125.73504961865
Z4,100.66386410363558,76.18097422564072
Z5,20365.60045294159,14008.926594261919
Z6,1158.5393663042885,861.2388043568162
Z7,16356.452138898396,10154.687306044532
Z8,30805.253648829184,23425.7121852897
Z9,41615.19746276234,28548.52312487283
