Name_1,non-domestic_weighted,gas_SFH,gas_MFH
Z10,2555.687391467033,1904.1420244698684,2674.267436967279
Z11,27164.08018145026,11544.680867128516,33344.49819818904
Z12,11309.260587397774,6478.547779707119,13551.725210628274
Z13,15272.793757785148,6974.235495881388,19819.266178889353
Z14,26644.93494839393,5947.857422710552,47641.86286118847
Z15,4140.309484434465,2196.956564297195,7051.614193067288
Z16,8725.699762930917,6379.163544275772,15553.340393228185
Z17,4015.8898041621196,2403.656381358631,4651.207816502807
Z1_1,0.0,0.0,0.0
Z1_2,0.0,0.0,0.0
Z1_3,244.60201641919394,114.1230057491753,113.73331376711856
Z1_4,1253.2844877504574,228.7602844846496,356.83849335584136
Z2,1936.150539138612,777.9738221479292,1779.3479580129772
Z3,2125.73504961865,787.3398166758232,2024.8910034773335
Z4,76.18097422564071,43.07075120431303,57.59311289932254
Z5,14008.926594261919,3430.9828146800114,16934.61763826158
Z6,861.2388043568162,390.34625095638,768.1931153479085
Z7,10154.687306044532,2777.8910035391523,13578.561135359245
Z8,23425.712185289703,6593.084932974996,24212.168715854186
Z9,28548.52312487283,8443.685119826527,33171.512342935814
