OBJECTID,nuts318cd,nuts318nm,bng_e,bng_n,long,lat,Zone,Shape_Length,Shape_Area
1,UKC11,Hartlepool and Stockton-on-Tees,444952,522016,-1.30587006,54.59135056,Z7,164338.5083,298521745
2,UKC12,South Teesside,461718,519597,-1.04694998,54.56784821,Z7,113439.1109,298708862.3
3,UKC13,Darlington,428029,515649,-1.56834996,54.5353508,Z7,107206.2829,197475689
4,UKC14,Durham CC,410381,532242,-1.8405,54.68513107,Z7,315237.3989,2231542399
5,UKC21,Northumberland,395323,600699,-2.07521009,55.30036926,Z7,584227.5755,5026214898
6,UKC22,Tyneside,425849,561221,-1.59800994,54.94498825,Z7,222232.0336,402526821.2
7,UKC23,Sunderland,436470,551525,-1.43343997,54.85720062,Z7,99845.95544,137438872.5
8,UKD11,West Cumbria,315410,516775,-3.30893993,54.53915024,Z7,598174.2826,2073391045
9,UKD12,East Cumbria,354557,530523,-2.70608997,54.66772079,Z7,710549.933,4748804353
10,UKD33,Manchester,384591,397063,-2.23358989,53.47008896,Z9,86850.99622,115648229
11,UKD34,Greater Manchester South West,375708,394501,-2.36720991,53.44672012,Z9,91242.36514,203242036.6
12,UKD35,Greater Manchester South East,393105,393399,-2.10524988,53.43732834,Z9,97492.6782,229194576.5
13,UKD36,Greater Manchester North West,364877,405611,-2.5315299,53.54595947,Z9,122418.4418,327963068
14,UKD37,Greater Manchester North East,388282,410213,-2.17847991,53.58837891,Z9,146298.6498,399933222.5
15,UKD41,Blackburn with Darwen,369490,422806,-2.46359992,53.70080185,Z9,65284.97085,137022077.7
16,UKD42,Blackpool,332763,436633,-3.02284002,53.8216095,Z9,34940.04029,34851506.04
17,UKD44,Lancaster and Wyre,352337,457241,-2.72874999,54.0089798,Z9,442021.125,858364941.2
18,UKD45,Mid Lancashire,366310,440592,-2.51372004,53.86045837,Z9,337233.3901,1005491193
19,UKD46,East Lancashire,383267,430361,-2.2553401,53.76932907,Z9,147646.9985,491102471.9
20,UKD47,Chorley and West Lancashire,349233,413628,-2.76889992,53.61672974,Z9,217042.6557,549580486.1
21,UKD61,Warrington,362744,388456,-2.56167006,53.39162827,Z9,114690.7,180627988
22,UKD62,Cheshire East,380510,363462,-2.29298997,53.1679306,Z9,301224.5944,1166357385
23,UKD63,Cheshire West and Chester,353097,363145,-2.70298004,53.1633606,Z9,307826.965,916700551.2
24,UKD71,East Merseyside,350326,393219,-2.74914002,53.43341064,Z9,156862.9853,301942889.7
25,UKD72,Liverpool,339361,390553,-2.91364002,53.40829849,Z9,62699.98882,111835574.2
26,UKD73,Sefton,334264,398832,-2.99203992,53.48210144,Z9,120319.7202,154990926.2
27,UKD74,Wirral,329242,386937,-3.06502008,53.37453842,Z9,75204.99029,157046389.8
28,UKE11,"Kingston upon Hull, City of",511894,431716,-0.30379999,53.76979065,Z8,64387.29275,71449804.36
29,UKE12,East Riding of Yorkshire,488051,443608,-0.66202998,53.88122177,Z8,505424.2507,2406491185
30,UKE13,North and North East Lincolnshire,497619,410092,-0.52709001,53.57836914,Z8,313659.6183,1038160375
31,UKE21,York,460864,452589,-1.07375002,53.96582031,Z8,101957.4837,271936983.5
32,UKE22,North Yorkshire CC,429509,466515,-1.55032003,54.09371185,Z8,873625.0591,8040262126
33,UKE31,"Barnsley, Doncaster and Rotherham",451623,398663,-1.22355998,53.48218155,Z8,281942.1082,1183633972
34,UKE32,Sheffield,430511,389736,-1.54253995,53.40357971,Z8,132837.0584,367930016.2
35,UKE41,Bradford,408395,438626,-1.87389004,53.84381866,Z8,135920.2369,366419731.4
36,UKE42,Leeds,432528,436384,-1.50735998,53.82273102,Z8,161521.6005,551706533.1
37,UKE44,Calderdale and Kirklees,411262,419585,-1.83099997,53.67263031,Z8,163546.6744,772512661.5
38,UKE45,Wakefield,438366,418235,-1.42092001,53.65922165,Z8,109447.2552,338619733.6
39,UKF11,Derby,435609,335375,-1.47188997,52.91463852,Z11,50037.53956,78031122.04
40,UKF12,East Derbyshire,441239,368516,-1.38393998,53.2121315,Z8,144008.7529,501993471.5
41,UKF13,South and West Derbyshire,424588,354450,-1.63434005,53.08671951,Z11,422876.4723,2048768954
42,UKF14,Nottingham,456082,339969,-1.16666996,52.9541893,Z11,58724.0265,74613563
43,UKF15,North Nottinghamshire,466570,368833,-1.00461996,53.21240997,Z10,318875.3954,1475399218
44,UKF16,South Nottinghamshire,462109,338029,-1.07734001,52.93608856,Z11,232716.754,609311875.4
45,UKF21,Leicester,458946,304594,-1.13039994,52.63592148,Z11,51931.70634,73342069.72
46,UKF22,Leicestershire CC and Rutland,481654,310191,-0.79354,52.68328094,Z11,394663.7112,2477535846
47,UKF24,West Northamptonshire,467187,263879,-1.01681995,52.26897812,Z11,263791.5307,1380395587
48,UKF25,North Northamptonshire,493590,281718,-0.62503999,52.42546082,Z11,210629.3492,986594573.3
49,UKF30,Lincolnshire,517985,358543,-0.23882,53.11104965,Z10,726095.3335,5937285891
50,UKG11,"Herefordshire, County of",349434,242834,-2.73931003,52.08153915,Z13,349888.7225,2179709447
51,UKG12,Worcestershire,385792,257203,-2.20935011,52.21287155,Z11,372990.2458,1740514186
52,UKG13,Warwickshire,429584,253588,-1.56874001,52.17977142,Z11,397570.2469,1977522678
53,UKG21,Telford and Wrekin,367035,313057,-2.48940992,52.71416855,Z11,118779.6671,290313546.4
54,UKG22,Shropshire CC,350227,302960,-2.73667002,52.6221199,Z11,580648.5582,3197275385
55,UKG23,Stoke-on-Trent,389438,346652,-2.15888,53.01707077,Z11,63974.40813,93448485.26
56,UKG24,Staffordshire CC,398243,334651,-2.02756,52.90930176,Z11,502096.483,2623314391
57,UKG31,Birmingham,408150,287352,-1.88141,52.48403931,Z11,106260.4388,267791067.2
58,UKG32,Solihull,419434,281483,-1.71557999,52.43099976,Z11,101031.2023,178282109.2
59,UKG33,Coventry,432807,279689,-1.51908004,52.41423035,Z11,54057.18765,98639062.77
60,UKG36,Dudley,393191,288584,-2.10171008,52.49512863,Z11,75382.13875,97958244.7
61,UKG37,Sandwell,399573,290764,-2.00770998,52.51477051,Z11,59210.7235,85558925.99
62,UKG38,Walsall,402098,300804,-1.97044003,52.60503006,Z11,59405.30302,103973544.8
63,UKG39,Wolverhampton,391463,300016,-2.12746,52.59788132,Z11,56058.87734,69436702.72
64,UKH11,Peterborough,517372,300777,-0.26874,52.5921402,Z11,112677.9301,343378168.4
65,UKH12,Cambridgeshire CC,520312,273864,-0.23506001,52.34965897,Z12,507456.644,3052513750
66,UKH14,Suffolk,608216,266122,1.04914796,52.2538681,Z12,757293.0592,3802344784
67,UKH15,Norwich and East Norfolk,619865,315909,1.25233197,52.6962204,Z12,329013.9736,765894923.2
68,UKH16,North and West Norfolk,570896,315746,0.52843601,52.71240997,Z12,718892.7318,2402888609
69,UKH17,Breckland and South Norfolk,606264,302698,1.04312503,52.58295822,Z12,366954.6696,2212821776
70,UKH21,Luton,508606,222559,-0.42319,51.89102173,Z12,34569.58652,43352495.19
71,UKH23,Hertfordshire,518883,213642,-0.27699,51.8087883,Z12,302891.5042,1643064930
72,UKH24,Bedford,505721,256463,-0.45462999,52.19628143,Z12,131721.0472,476408304.7
73,UKH25,Central Bedfordshire,504615,234492,-0.47753999,51.99903107,Z12,232692.2754,715665293.8
74,UKH31,Southend-on-Sea,587776,186833,0.70690602,51.54914093,Z15,43367.3566,41755607.64
75,UKH32,Thurrock,562126,181586,0.33490199,51.5099411,Z15,94113.62438,163493486.8
76,UKH34,Essex Haven Gateway,594884,227762,0.83218902,51.91429138,Z12,489114.0062,1282629687
77,UKH35,West Essex,555274,223275,0.25479001,51.8864212,Z12,231752.857,1010704851
78,UKH36,Heart of Essex,575480,203974,0.53833401,51.70706177,Z12,472692.6906,854055251.9
79,UKH37,Essex Thames Gateway,578285,190848,0.57220399,51.58827972,Z15,286775.3906,324591260.8
80,UKI31,Camden and City of London,527620,184057,-0.16113,51.54098892,Z14,33449.42659,24693228.18
81,UKI32,Westminster,528268,180871,-0.15295,51.51221085,Z14,27304.12219,21486974.73
82,UKI33,Kensington & Chelsea and Hammersmith & Fulham,524877,178515,-0.20262,51.4917984,Z14,29407.31256,28521471.23
83,UKI34,Wandsworth,525152,174137,-0.20021001,51.45238876,Z14,38675.29571,34263364.62
84,UKI41,Hackney and Newham,540488,183989,0.024276,51.53731918,Z14,58185.76287,55250754.65
85,UKI42,Tower Hamlets,536345,181451,-0.0364,51.51552963,Z14,28568.26335,19786307.66
86,UKI43,Haringey and Islington,531279,186897,-0.10734,51.56567001,Z14,42454.29575,44455033.5
87,UKI44,Lewisham and Southwark,536529,175891,-0.0359,51.46551895,Z14,51988.6268,64011118.14
88,UKI45,Lambeth,531118,175626,-0.11385,51.46442032,Z14,33856.68046,26810035.81
