,EAST_ANGLIA,HORNSEA,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z1_1,Z1_2,Z1_3,Z1_4,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9
2014-01-01 00:00:00,0.0,0.0,-1.6895029144741627,-19.1154237721912,-7.787507531458481,-10.927719652795025,-39.01282098040861,-4.261660814571117,-8.208315721976497,-2.425484173244808,0.0,0.0,-0.10518857306732655,-0.3657384827822922,-1.1143112259882062,-1.4328126233851601,-0.04404795500655581,-13.912770657163888,-0.49628302524331736,-9.477437325974321,-15.806325585597751,-21.201144561098726
2014-01-01 01:00:00,0.0,0.0,-1.8143848058674634,-20.451975181000822,-8.339049861985938,-11.68697323689527,-41.5712590850304,-4.552680358632085,-8.785042927802632,-2.5843074849108003,0.0,0.0,-0.111382827700522,-0.3844222731069801,-1.1832850814173126,-1.4980026271710043,-0.046712685810306444,-14.51177582475357,-0.5266014926543409,-10.114812018816004,-16.89148196582627,-22.654310463993333
2014-01-01 02:00:00,0.0,0.0,-1.8250475257017504,-20.806625351826,-8.446321971571736,-11.888323535559316,-42.8085798036972,-4.6431843937834065,-8.91437041079771,-2.626877683414286,0.0,0.0,-0.11301176117842267,-0.39287025623340716,-1.2029609787005708,-1.5287277568771038,-0.04735217533576043,-14.823095529906585,-0.5348967895527532,-10.35665567283465,-17.2508577099522,-23.147429303911522
2014-01-01 03:00:00,0.0,0.0,-2.051362359171278,-23.574569462718603,-9.537677703832582,-13.47038974069723,-48.95112768446089,-5.266809079179108,-10.093049734398308,-2.975727901634637,0.0,0.0,-0.12330691558137882,-0.4233381832934518,-1.3372785290031186,-1.6570387034096243,-0.052145932898858306,-16.148934053705176,-0.5925849906342073,-11.782708103205692,-19.573936472296253,-26.29977798291285
2014-01-01 04:00:00,0.0,0.0,-2.668934677633236,-30.767509108030303,-12.383279474160718,-17.550987604993303,-64.21166322848981,-6.842575937332128,-13.136293437513821,-3.9110233122225346,0.0,0.0,-0.15125960281266967,-0.4974365522591089,-1.6952660993158903,-2.0010792867848886,-0.06500857682201282,-19.663960548664665,-0.7469983133630355,-15.424734398766732,-25.498004898244012,-34.353476101346
2014-01-01 05:00:00,0.0,0.0,-3.8787463033335166,-45.30878060217334,-18.012487638302183,-25.757800248945756,-95.82410509919772,-9.980847670735532,-19.194155209803494,-5.770915022507113,0.0,0.0,-0.2147853239087144,-0.6896676926493144,-2.477363549390776,-2.9139348992276766,-0.0932615819321661,-29.011734516673055,-1.08617529019145,-23.027113782589616,-37.52676878914103,-50.81793013170477
2014-01-01 06:00:00,0.0,0.0,-4.578106099299369,-55.363842993998304,-21.64935296953424,-31.413870518800657,-120.74302875716216,-12.185318025160953,-23.190899307941304,-6.9475287244973885,0.0,0.0,-0.24766605190345561,-0.8080439511457,-2.9937339120680173,-3.526033996494268,-0.10936494147990444,-36.1660933333247,-1.3016761768970466,-28.735401315169867,-46.27031052679214,-62.86086554857218
2014-01-01 07:00:00,0.0,0.0,-4.386215953898205,-52.58549315074699,-20.639892390932054,-29.829257859921743,-113.33461685326436,-11.54131714133358,-21.99231423515563,-6.652028363770112,0.0,0.0,-0.24086258994931944,-0.7916631252113473,-2.859507862882189,-3.357518277289534,-0.10534127398178193,-34.064050521233995,-1.245955104210798,-27.110616892728086,-43.929837881122076,-59.54763498382563
2014-01-01 08:00:00,0.0,0.0,-4.1321217780173205,-48.84546984726125,-19.363922122020632,-27.77535937485942,-103.9201767417704,-10.770231433406785,-20.58001592599383,-6.209275410856975,0.0,0.0,-0.2306928675446245,-0.7587171192706919,-2.6803196102623605,-3.18149295419514,-0.10033858044630192,-32.002766583346684,-1.1732705616734749,-24.927687227344205,-40.704867881913685,-55.03475784085968
2014-01-01 09:00:00,0.0,0.0,-3.8436809470096485,-45.32431168834888,-17.972784050413452,-25.764264147838297,-96.15455746189308,-9.975960625784813,-19.086739103535706,-5.748349797003774,0.0,0.0,-0.2196510097544228,-0.7294814025818326,-2.519661741265745,-3.055459042427594,-0.09486834070076368,-30.60981817879935,-1.1053348454291703,-23.129336106907914,-37.734856134347254,-51.02222197508057
2014-01-01 10:00:00,0.0,0.0,-3.6132235608304915,-42.404873824949945,-16.851559319774186,-24.111050504856046,-89.62762594709345,-9.33662288255696,-17.893448809807676,-5.368447331337814,0.0,0.0,-0.20878841426571615,-0.6951474915407523,-2.374243511567127,-2.9109613749876613,-0.08986193907417422,-29.076715097914377,-1.043413293447605,-21.59540294337516,-35.25155875585203,-47.65367917981093
2014-01-01 11:00:00,0.0,0.0,-3.4522720138960032,-40.49711632320788,-16.085622585268887,-23.019275745884496,-85.52558373137356,-8.903116047500232,-17.078015371280568,-5.088231104592908,0.0,0.0,-0.20002322096191108,-0.6653481369211736,-2.2741223243217705,-2.8027551265708217,-0.08607166454714751,-28.02039629806008,-0.9995866306058847,-20.635110694182035,-33.64647846758228,-45.499976467334804
2014-01-01 12:00:00,0.0,0.0,-3.3808685881089313,-39.69397147497242,-15.764257036238561,-22.570263374970132,-84.06301389794231,-8.741125976696935,-16.76251591806958,-4.963890094680365,0.0,0.0,-0.19529376774343638,-0.64653866208605,-2.223953972694178,-2.737479549401808,-0.08415692449320467,-27.37254857207301,-0.9774921941456285,-20.240139122906818,-32.96799232863606,-44.60475318798406
2014-01-01 13:00:00,0.0,0.0,-3.3247693115847015,-38.97803979227645,-15.541330815674744,-22.216082471046334,-82.90167594184459,-8.65687596413492,-16.585896479562564,-4.8965756128966325,0.0,0.0,-0.19189859045806137,-0.6340324878526661,-2.1789772276418202,-2.691111439028366,-0.08287291126257078,-26.894424597326314,-0.9591633064103027,-19.841888104677686,-32.343730349241945,-43.75988965926986
2014-01-01 14:00:00,0.0,0.0,-3.3601622152401442,-39.51601460618916,-15.74853675830671,-22.538555601617745,-84.52402370537517,-8.805396562218382,-16.84666109590162,-4.932808494334017,0.0,0.0,-0.1929351202642926,-0.6353815070708942,-2.201193383878838,-2.7165878263681047,-0.08359094368114389,-27.222751124547237,-0.9685491233945466,-20.150923633479263,-32.7996135813121,-44.403599302634206
2014-01-01 15:00:00,0.0,0.0,-3.4498889780352053,-40.62453172560614,-16.214197571726192,-23.207085822357513,-87.47021874569499,-9.11269514267424,-17.41731776071093,-5.081594747320211,0.0,0.0,-0.19555611360020383,-0.6418857796000599,-2.2447666684205716,-2.754075335195359,-0.08517136425144836,-27.672843288928036,-0.9873636234545571,-20.726434183559746,-33.70241055370047,-45.656388474765684
2014-01-01 16:00:00,0.0,0.0,-3.6289062394061027,-42.83910949334071,-17.077661177507395,-24.4748251099111,-92.54921232627179,-9.612150881859677,-18.374160603483862,-5.346468734419242,0.0,0.0,-0.20383173568107554,-0.6654330670850034,-2.357511781210179,-2.884645606366869,-0.08915279276051304,-29.092187850706072,-1.035938410434012,-21.899894908655963,-35.53083109285942,-48.17818100114676
